Project,commenttext,label,commenttype
apache-ant-1.7.0,// FIXME formatters are not thread-safe,Defect,14
apache-ant-1.7.0,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",Defect,14
apache-ant-1.7.0,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",Defect,14
apache-ant-1.7.0,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",Defect,14
apache-ant-1.7.0,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,Defect,14
apache-ant-1.7.0,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,Defect,14
apache-ant-1.7.0,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",Defect,14
apache-ant-1.7.0,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,Defect,14
apache-ant-1.7.0,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",Defect,14
apache-ant-1.7.0,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,Defect,14
apache-ant-1.7.0,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,Defect,14
apache-ant-1.7.0,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",Defect,14
apache-ant-1.7.0,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,Defect,14
apache-ant-1.7.0,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */",Design,14
apache-ant-1.7.0,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,Design,14
apache-ant-1.7.0,// XXX ignore attributes in a different NS ( maybe store them ? ),Design,14
apache-ant-1.7.0,//borrowed from TokenFilterTest,Design,14
apache-ant-1.7.0,// XXX Move to Project ( so it is shared by all helpers ),Design,14
apache-ant-1.7.0,// What is the property supposed to be?,Design,14
apache-ant-1.7.0,"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name",Design,14
apache-ant-1.7.0,// there's a convenient xsltc class version but data are // private so use package information,Design,14
apache-ant-1.7.0,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped,Design,14
apache-ant-1.7.0,// bingo append it. (this should normally not be done here),Design,14
apache-ant-1.7.0,// This is faintly ridiculous:,Design,14
apache-ant-1.7.0,//cannot remove underscores due to protected visibility >:(,Design,14
apache-ant-1.7.0,"// TODO not read, yet in a public setter",Design,14
apache-ant-1.7.0,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...,Design,14
apache-ant-1.7.0,// not sure what could be the need of this...,Design,14
apache-ant-1.7.0,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?,Design,14
apache-ant-1.7.0,"// Experimental/Testing, will be removed",Design,14
apache-ant-1.7.0,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had,Design,14
apache-ant-1.7.0,//this is really irritating; we need a way to set stuff,Design,14
apache-ant-1.7.0,//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!,Design,14
apache-ant-1.7.0,//silly hack to avoid stack overflow...,Design,14
apache-ant-1.7.0,"// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context.",Design,14
apache-ant-1.7.0,// XXX - should throw an exception instead?,Design,14
apache-ant-1.7.0,// Temporary - until we figure a better API,Design,14
apache-ant-1.7.0,"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.",Design,14
apache-ant-1.7.0,// quick fix for Ant.java use of property before // initializing the project,Design,14
apache-ant-1.7.0,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM),Design,14
apache-ant-1.7.0,"/*
             * two reasons are mentioned in the API docs for File.list
             * (1) dir is not a directory. This is impossible as
             *     we wouldn't get here in this case.
             * (2) an IO error occurred (why doesn't it throw an exception
             *     then???)
             */",Design,14
apache-ant-1.7.0,"/**
 * Jakarta Commons Logging listener.
 * Note: do not use the SimpleLog as your logger implementation as it
 * causes an infinite loop since it writes to System.err, which Ant traps
 * and reroutes to the logger/listener layer.
 *
 * The following names are used for the log:
 *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events
 *  org.apache.tools.ant.Target.TARGET_NAME - for target events
 *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets.
 *
 * In all target and project names we replace ""."" and "" "" with ""-"".
 *
 * TODO: we should use the advanced context logging features (and expose them
 * in c-l first :-)
 * TODO: this is _very_ inefficient. Switching the out and tracking the logs
 * can be optimized a lot - but may require few more changes to the core.
 *
 * @since Ant 1.5
 */",Design,14
apache-ant-1.7.0,"//     * @TODO using taskName here is brittle, as a user could override it. //     *       this should probably be modified to use the classname instead.",Design,14
apache-ant-1.7.0,"//these are pathological cases, but retained in case somebody //subclassed us.",Design,14
apache-ant-1.7.0,"/*
                 * This is a rather hairy case.
                 *
                 * One of our subclasses knows that we need to update the
                 * archive, but at the same time, there are no resources
                 * known to us that would need to be added.  Only the
                 * subclass seems to know what's going on.
                 *
                 * This happens if <jar> detects that the manifest has changed,
                 * for example.  The manifest is not part of any resources
                 * because of our support for inline <manifest>s.
                 *
                 * If we invoke createEmptyZip like Ant 1.5.2 did,
                 * we'll loose all stuff that has been in the original
                 * archive (bugzilla report 17780).
                 */",Design,14
apache-ant-1.7.0,// This is deprecated - use classespath in the future,Design,14
apache-ant-1.7.0,//XXX  this array stuff is a remnant of prev trials.. gotta remove.,Design,14
apache-ant-1.7.0,"/**
     * Set the number of milliseconds leeway to give before deciding a
     * target is out of date.
     * TODO: This is not yet used.
     * @param granularity the granularity used to decide if a target is out of
     *                    date.
     */",Design,14
apache-ant-1.7.0,"// This may change, if we add advanced parsing capabilities.",Design,14
apache-ant-1.7.0,"// We assume, that every output, jikes does, stands for an error/warning // XXX // Is this correct?",Design,14
apache-ant-1.7.0,"// The line below is a hack: the system id must an URI, but it is not // cleat to get the URI of an resource, so just set the name of the // resource as a system id",Design,14
apache-ant-1.7.0,// XXX what is the following doing? //     should it run if !javadoc4 && executable != null?,Design,14
apache-ant-1.7.0,"// MAC OS 9 and previous //TODO: I have no idea how to get it, someone must fix it",Design,14
apache-ant-1.7.0,//TODO: nothing appears to read this but is set using a public setter.,Design,14
apache-ant-1.7.0,// XXX - we are committing CombiningChar and Extender here,Design,14
apache-ant-1.7.0,"/*
                 * XXX - failed to load the class properly.
                 *
                 * should we print a warning here?
                 */",Design,14
apache-ant-1.7.0,// XXX could perhaps also call thread.stop(); not sure if anyone cares,Design,14
apache-ant-1.7.0,"/**
         * XXX
         * Perhaps we shouldn't use properties for these
         * three options (emacs mode, warnings and pedantic),
         * but include it in the javac directive?
         */",Design,14
apache-ant-1.7.0,// XXX maybe use reflection to addPathElement (other patterns ?),Design,14
apache-ant-1.7.0,// TODO there is a problem with the constructor for the RBC. // you have to provide the rules in the constructors - no setters // available.,Design,14
apache-ant-1.7.0,"// probably not the best choice, but it solves the problem of // relative paths in CLASSPATH",Design,14
apache-ant-1.7.0,// Fix for invalid characters. If you think of more add to the list.,Design,14
apache-ant-1.7.0,"/*
             * fallback in case we have trouble loading the class or
             * don't know how to handle it (there is no easy way to
             * know what IDL mode would generate.
             *
             * This is supposed to make Ant always recompile the
             * class, as a file of that name should not exist.
             */",Design,14
apache-ant-1.7.0,// Check it out; also ugly.,Design,14
apache-ant-1.7.0,//I can't get my head around this; is encoding treatment needed here?,Design,14
apache-ant-1.7.0,"//quick & dirty, to make nested mapped p-sets work:",Design,14
apache-ant-1.7.0,// XXX is this code still necessary? is there any 1.2+ port? // Pull in *.zip from packages directory,Design,14
apache-ant-1.7.0,// only: the developer knows what (s)he is doing,Design,14
apache-ant-1.7.0,"// XXX Unfortunately JDK1.2 adds entrySet(), keySet(), values() - // implementing this requires a small hack, we can add it later.",Design,14
apache-ant-1.7.0,// first: developer could use a little help,Design,14
apache-ant-1.7.0,// XXX - should throw an exception instead?,Design,14
apache-ant-1.7.0,// XXX - should throw an exception instead?,Design,14
apache-ant-1.7.0,// XXX - should throw an exception instead?,Design,14
apache-ant-1.7.0,// XXX     should we silently catch possible exceptions and try to //         load a different implementation?,Design,14
apache-ant-1.7.0,// XXX     should we silently catch possible exceptions and try to //         load a different implementation?,Design,14
apache-ant-1.7.0,"// since Java 1.4 //return normalizedPath.split(""/""); // workaround for Java 1.2-1.3",Design,14
apache-ant-1.7.0,// HAMMER // end inline mainGTU,Design,14
apache-ant-1.7.0,"/**
     * This array really shouldn't be here.
     * Again, for historical purposes it is.
     *
     * <p>FIXME: This array should be in a private or package private
     * location, since it could be modified by malicious code.</p>
     */",Design,14
apache-ant-1.7.0,"// Should move to a separate public class - and have API to add // listeners, etc.",Design,14
apache-ant-1.7.0,"// """" should become a single empty argument, same for '' // PR 5906",Design,14
apache-ant-1.7.0,// not very nice but will do the job,Design,14
apache-ant-1.7.0,// provide public visibility,Design,14
apache-ant-1.7.0,"// not used, but public so theoretically must remain for BC?",Design,14
apache-ant-1.7.0,// super.validateAttributes(); // don't want to call this method,Design,14
apache-ant-1.7.0,// XXX what is this for?,Design,14
apache-ant-1.7.0,"// We keep this, so we have something to delete in later tests :-)",Design,14
apache-ant-1.7.0,// *************  copied from ConcatTest  *************,Design,14
apache-ant-1.7.0,"// not sure whether this is clean, but this method is // declared not to throw exceptions.",Design,14
apache-ant-1.7.0,"// We just set the prefix for this fileset, and pass it up. // Do we need to do this? LH",Design,14
apache-ant-1.7.0,//why do we do nothing?,Design,14
apache-ant-1.7.0,"// // We have to deal with assembly!!! // The programmer can be writing little 32 byte chunks for all // we know, and we must assemble complete records for writing. // REVIEW Maybe this should be in TarBuffer? Could that help to // eliminate some of the buffer copying. //",Design,14
apache-ant-1.7.0,"// This is the new, better way - use classespath instead // of sourcespath.  The code is currently the same - you // need class files in a directory to use this or jar files.",Design,14
apache-ant-1.7.0,"// XXX - why not simply new File(dir, filename)?",Design,14
apache-ant-1.7.0,// This is ugly; checking for the root folder.,Design,14
apache-ant-1.7.0,//TODO: Parameterise ?? //Call compiler as class... dont want to fork again //Use classic compiler -- can be parameterised?,Design,14
apache-ant-1.7.0,"//XXX // All this to get package according to weblogic standards // Can be written better... this is too hacky! // Careful.. similar code in scanDir , but slightly different!!",Design,14
apache-ant-1.7.0,//stolen from writeManifest,Design,14
apache-ant-1.7.0,"/* If the jarfile already exists then whack it and recreate it.
             * Should probably think of a more elegant way to handle this
             * so that in case of errors we don't leave people worse off
             * than when we started =)
             */",Design,14
apache-ant-1.7.0,// XXX is the following really necessary? it is in the same thread group...,Design,14
apache-ant-1.7.0,// we have to find a cleaner way to put this output,Design,14
apache-ant-1.7.0,// This is the old way and is deprecated - classespath is // the right way to do this and is above,Design,14
apache-ant-1.7.0,// For Script example that modifies id'ed tasks in other // targets to work. *very* Ugly // The reference is replaced by RuntimeConfigurable,Design,14
apache-ant-1.7.0,// don't call super.close() because that reader is used // on other places ...,Design,14
apache-ant-1.7.0,// report error if something weird happens...this is diagnostic.,Design,14
apache-ant-1.7.0,// sorry - otherwise we will get a ClassCastException because the MockCache // is loaded by two different classloader ...,Design,14
apache-ant-1.7.0,"// ***HACK*** We ask the VM to create an instance // by voluntarily providing illegal arguments to force // the VM to run the class' static initializer, while // at the same time not running a valid constructor.",Design,14
apache-ant-1.7.0,"// Singleton for now, it may change ( per/classloader )",Design,14
apache-ant-1.7.0,// XXX - shouldn't this always return false in isolated mode?,Design,14
apache-ant-1.7.0,//TO DO : delete the file if it is not a valid file.,Requirement,14
apache-ant-1.7.0,"/**
 * TODO:
 * comment field doesn't include all options yet
 */",Requirement,14
apache-ant-1.7.0,//TO DO : delete the file if it is not a valid file.,Requirement,14
apache-ant-1.7.0,"/**
     * This method checks the timestamp on each file listed in the <code>
     * ejbFiles</code> and compares them to the timestamp on the <code>jarFile
     * </code>.  If the <code>jarFile</code>'s timestamp is more recent than
     * each EJB file, <code>true</code> is returned.  Otherwise, <code>false
     * </code> is returned.
     * TODO: find a way to check the manifest-file, that is found by naming convention
     *
     * @param ejbFiles Hashtable of EJB classes (and other) files that will be
     *                 added to the completed JAR file
     * @param jarFile  JAR file which will contain all of the EJB classes (and
     *                 other) files
     * @return         boolean indicating whether or not the <code>jarFile</code>
     *                 is up to date
     */",Requirement,14
apache-ant-1.7.0,// Have to think about lazy initialization here...  JHM // comparator = new java.text.RuleBasedCollator();,Requirement,14
apache-ant-1.7.0,"/**
 * TODO:
 * comment field doesn't include all options yet
 */",Requirement,14
apache-ant-1.7.0,//TODO no methods yet for getClassname //TODO no method for newInstance using a reverse-classloader,Requirement,14
apache-ant-1.7.0,"/*
     * The displayName variable stores the value of the ""display-name"" element
     * from the standard EJB descriptor.  As a future enhancement to this task,
     * we may determine the name of the EJB JAR file using this display-name,
     * but this has not be implemented yet.
     */",Requirement,14
apache-ant-1.7.0,"// this is the wrong test if the remote OS is OpenVMS, // but there doesn't seem to be a way to detect it.",Test,14
apache-ant-1.7.0,"//process doesn't die properly under this combination, //thus test fails.  No workaround?",Test,14
apache-ant-1.7.0,"// JUNIT3 test //assertEquals(error, JUnitTestRunner.FAILURES, runner.getRetCode()); //@fixme as of now does not report the original stacktrace. //assertTrue(error, error.indexOf(""thrown on purpose"") != -1);",Test,14
apache-ant-1.7.0,"// The property is an id's thing -- either a property // or a path.  We need to make sure // that the object was created with the given id. // We don't have an adequate way of testing the actual // *value* of the Path object, though...",Test,14
apache-ant-1.7.0,//where oh where has my test case 3 gone?,Test,14
apache-ant-1.7.0,"/**
 * An output stream that compresses into the BZip2 format (without the file
 * header chars) into another stream.

 * <p>The compression requires large amounts of memory. Thus you
 * should call the {@link #close() close()} method as soon as
 * possible, to force <tt>CBZip2OutputStream</tt> to release the
 * allocated memory.</p>
 *
 * <p>You can shrink the amount of allocated memory and maybe raise
 * the compression speed by choosing a lower blocksize, which in turn
 * may cause a lower compression ratio.  You can avoid unnecessary
 * memory allocation by avoiding using a blocksize which is bigger
 * than the size of the input. </p>
 *
 * <p>You can compute the memory usage for compressing by the
 * following formula:</p>
 * <pre>
 * <code>400k + (9 * blocksize)</code>.
 * </pre>
 * 
 * <p>To get the memory required for decompression by {@link
 * CBZip2InputStream CBZip2InputStream} use</p>
 * <pre>
 * <code>65k + (5 * blocksize)</code>.
 * </pre>
 *
 * <table width=""100%"" border=""1"">
 *  <colgroup>
 *    <col width=""33%"" />
 *    <col width=""33%"" />
 *    <col width=""33%"" />
 *  </colgroup>
 *  <tr>
 *    <th colspan=""3"">Memory usage by blocksize</th>
 *  </tr><tr>
 *    <th align=""right"">Blocksize</th>
 *    <th align=""right"">Compression<br>memory usage</th>
 *    <th align=""right"">Decompression<br>memory usage</th>
 *  </tr><tr>
 *    <td align=""right"">100k</td>
 *    <td align=""right"">1300k</td>
 *    <td align=""right""> 565k</td>
 *  </tr><tr>
 *    <td align=""right"">200k</td>
 *    <td align=""right"">2200k</td>
 *    <td align=""right"">1065k</td>
 *  </tr><tr>
 *    <td align=""right"">300k</td>
 *    <td align=""right"">3100k</td>
 *    <td align=""right"">1565k</td>
 *  </tr><tr>
 *    <td align=""right"">400k</td>
 *    <td align=""right"">4000k</td>
 *    <td align=""right"">2065k</td>
 *  </tr><tr>
 *    <td align=""right"">500k</td>
 *    <td align=""right"">4900k</td>
 *    <td align=""right"">2565k</td>
 *  </tr><tr>
 *    <td align=""right"">600k</td>
 *    <td align=""right"">5800k</td>
 *    <td align=""right"">3065k</td>
 *  </tr><tr>
 *    <td align=""right"">700k</td>
 *    <td align=""right"">6700k</td>
 *    <td align=""right"">3565k</td>
 *  </tr><tr>
 *    <td align=""right"">800k</td>
 *    <td align=""right"">7600k</td>
 *    <td align=""right"">4065k</td>
 *  </tr><tr>
 *    <td align=""right"">900k</td>
 *    <td align=""right"">8500k</td>
 *    <td align=""right"">4565k</td>
 *  </tr>
 * </table>
 *
 * <p>For decompression <tt>CBZip2InputStream</tt> allocates less
 * memory if the bzipped input is smaller than one block.</p>
 *
 * <p>Instances of this class are not threadsafe.</p>
 *
 * <p>
 * TODO:    Update to BZip2 1.0.1
 * </p>
 *
 */",Requirement,14
apache-ant-1.7.0,// XXX - log an error?  throw an exception?,Requirement,14
apache-ant-1.7.0,// TODO: allow user to request the system or no parent,Requirement,14
apache-ant-1.7.0,"//if there was any text before this, add it as a fragment //TODO, this check could be modified to go if pos>prev; //seems like this current version could stick empty strings //into the list",Requirement,14
apache-ant-1.7.0,// XXX add exceptions,Requirement,14
apache-ant-1.7.0,// @todo this is duplicating TestResult information. Only the time is not // part of the result. So we'd better derive a new class from TestResult // and deal with it. (SB),Test,14
apache-ant-1.7.0,// not sure whether this test is needed but cost nothing to put. // hope it will be reviewed by anybody competent,Test,14
apache-ant-1.7.0,"/**
 * TestCases for {@link XSLTProcess} task.
 * XXX merge with {@link XsltTest}?
 * @version 2003-08-05
 */",Test,14
apache-ant-1.7.0,"// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));",Test,14
apache-ant-1.7.0,"/** Attribute names and values. While the XML spec doesn't require
     *  preserving the order ( AFAIK ), some ant tests do rely on the
     *  exact order. The following code is copied from AttributeImpl.
     *  We could also just use SAX2 Attributes and convert to SAX1 ( DOM
     *  attribute Nodes can also be stored in SAX2 Attributes )
     *  XXX under JDK 1.4 you can just use a LinkedHashMap for this purpose -jglick
     * The only exception to this order is the treatment of
     * refid. A number of datatypes check if refid is set
     * when other attributes are set. This check will not
     * work if the build script has the other attribute before
     * the ""refid"" attribute, so now (ANT 1.7) the refid
     * attribute will be processed first.
     */",Test,14
apache-jmeter-2.10,// Don't try restoring the URL TODO: wy not?,Defect,14
apache-jmeter-2.10,// TODO: Why do we clone the return value? This is the only reference // to it (right?) so we shouldn't need a separate copy.,Defect,14
