NO,Project,commenttext,label,commenttype
2,Camel,"add a few annotations in the spi-annotations project that we can use to annotate endpoints so that we can automatically generate HTML documentation for how to configure them; rather like maven goals work. See CAMEL-6304 for more details. The annotations are in a separate project, spi-annotations - as it makes APT+maven much happier that way; the annotations get included in camel-core as well",Documentation,15
3,Camel,"added a Spring FactoryBean for creating and configuring a CamelContext along with auto-starting it and also being able to search the classpath for routes to be installed


",Requirement,15
4,Camel,"added a test case and implementation for 
",Test,15
5,Camel,"added helper methods and test cases to show the conversion of properties, headers and message bodies

",Test,15
6,Camel,"[APNS] Enabled tests.
",Test,15
7,Camel,"- Adding initial support for Aync processing of Exchanges for discussions on the topic.


",Requirement,15
8,Camel,Added use of dynamic ports for tests while retaining static ports for stand-alone example execution.,Test,15
9,Camel," Move container management of camel contexts to start method
",Design,15
10,Camel,"Add camel-atmos to kit. Polish the component so it has out of the box documentation. Add name option so the endpoint can have a logical name so the endpoints can be more natural.
",Design,15
11,Camel,"added test case and fix for issue with the ChoiceProcessor; it was not correctly invoking the lifecycle methods, nor was it actually evaluating the predicates. Thanks to jlansing for the heads up!

",Test,15
12,Camel,"Add some explanations about what's going on.

",Documentation,15
13,Camel,"added a lifecycle interface (Service) and added a Producer and Consumer interfaces for actually communicating with an endpoint (so that you can add multiple consumers, or deal with resource specific stuff like JDBC connections etc)


",Design,15
14,Camel,"Add a test case to show the code fault of 

",Test,15
15,Camel,"added a test case showing the use of xpath filter using spring XML; also tidied up the spring XML test cases to make it easier to deal with issues that arise in the spring 2.0 parsing code


",Test,15
16,Camel,"Add support for SSL testing for when we can get a public server to test against

",Test,15
17,Camel,"added a basic web application as well as the RESTful resources for Camel


",Requirement,15
18,Camel," Precise synchronization with BP container of the test bundle
",Test,15
19,Camel,"problem with XP. A quick fix to let Paddy test it.

",Test,15
20,Camel,"Added a unit test based on the user forum


",Test,15
21,Camel," Added unit test that demonstrates a bug with DLC being added even though we have no error handler. Only happens when JMX is disabled. Bug not fixed. This is just a test to show the bug.


",Test,15
22,Camel,"CAMEL-1563: Added hasOut, hasFault for testing whether an out exists. @deprecated getOut(boolean).

",Test,15
23,Camel,"Add https server to tests
",Test,15
24,Camel,"Added manual test based on user forum issue

",Test,15
25,Camel,"Added unit test to show how to simulate in only with jetty


",Test,15
26,Camel,"added test case and fix for CAMEL-112


",Test,15
27,Camel,"added a simple test case to show how we can poll for Entry objects in an Atom Feed using the Atom endpoint


",Test,15
28,Camel,"Added ftp test (work in progress)


",Test,15
29,Camel,"CAMEL-1155, CAMEL-1160: Using ObjectHelper.notNull for testing. Fixed attributes that should be required. Fixed Spelling.


",Test,15
30,Camel,"Added TX unit test and tried to fix another test which occationally fails.

",Test,15
31,Camel,"CAMEL-1392 - Add ability to create routes via the web console and fixed a few other unit test failures.







",Test,15
32,Camel," I added an extra test case for FTP using Apache FtpServer; other than that, great work Noah! More more! 


",Test,15
33,Camel,"added an initial implementation of a debugging interceptor along with integration with the spring based Main 
",Requirement,15
34,Camel,"added an integration test case along with removing some System.out statements and adding some debug logging

",Test,15
35,Camel,"added some utility helper methods


",Design,15
36,Camel,"CAMEL-1424: A bit more work on BeanInfo. Adding unit tests for missing gaps in code coverage reports.


",Test,15
37,Camel,"added an XPath builder with test case


",Test,15
38,Camel,"added more predicates and a helper header() method to build easier and more powerful expressions and predicates

",Design,15
39,Camel,"CAMEL-1584: Added header for intercepted endpoint uri, so when using wildcards you have known the real endpoint that was intercepted.

",Requirement,15
40,Camel,"attempted fix for CAMEL-295 but cannot get the test case working...


",Test,15
41,Camel,"Added unit test based on user forum issue

",Test,15
42,Camel,"added test case for performing GET/POST on a HTTP endpoint using commons-httpclient


",Test,15
43,Camel,"CAMEL-1584: Added support for intercept by wildcard,regexp for intercept send to endpoint.


",Requirement,15
44,Camel,"added better integration tests creating JBI endpoints within the camel routing and testing that they work when deployed within a JBI ServiceUnit; including being deployed and undeployed a few times etc


",Test,15
45,Camel,"added test case and fix for CAMEL-391
",Test,15
46,Camel,"CAMEL-1647: First cut of a service pool. Allows us to pool producers for mina and ftp that are otherwise not thread safe.

",Design,15
47,Camel,"CAMEL-1864: fixed intercept send to endpoint not working for send processors in onException.


",Defect,15
48,Camel,"Added more documentation.
",Documentation,15
49,Camel,"CAMEL-1195 commented out failed tests

",Test,15
50,Camel,"CAMEL-1355 added some nice literate HTML based test cases (which can be used to power an embedded browser too, like Selenium!) to test the functionality of the web application (as opposed to the REST API)  using WebDriver


",Test,15
51,Camel,"CAMEL-1899: Special care when using multiple camel contexts as we cannot then auto regsiter default templates as there would be an id clash.

",Requirement,15
52,Camel,"CAMEL-1759: Tracing onCompletion and onException needs special care. The code in TraceInterceptor need a bit more cleanup.

",Design,15
53,Camel,"CAMEL-1987: Easier to disable JMX. CAMEL-1965: Added retry for renaming and deleting files as Windows have potential problems here.

",Requirement,15
54,Camel,"CAMEL-1727: alternative body header should not be included in mime mail as header also.

",Design,15
55,Camel,"CAMEL-2637: Fixed errorHandler tag in Spring XML to not work properly with fallback.

",Defect,15
56,Camel,"CAMEL-1882: Temporary fix applied that catches exception thrown from Colleciotn.add() in aggregator. Proper error handling to be done

",Defect,15
57,Camel,"CAMEL-1658 added the unit tests

",Test,15
58,Camel, Workaround for consuming mails with unsupported charset.,Design,15
59,Camel,"CAMEL-1332: StreamCache is now default enabled and is configured similiar as Tracer etc. I need to look into getting TX routes working nicely with stream cache as well, hence the TODO in a unit test in camel-spring. Will work on this a bit later.

",Test,15
60,Camel,"CAMEL-325.  Add test for invalid expression and loop count/index properties.


",Test,15
61,Camel,"CAMEL-3031: Camel fails to start if an existing CamelContext has been registered in MBeanServer. Introduced pluggable strategy to auto assign camel context name.

",Design,15
62,Camel,"CAMEL-335
- Default port number for protocols
- Username can be set using URI parameter
- Use of URI fragment removed (no other components use it at all, and it was not documented, and had mixed purpose)
- imaps protocol added

",Design,15
63,Camel,"CAMEL-3311: bean parameter binding - Add support for type option to force Camel to pick method with compatible type

",Design,15
64,Camel,"CAMEL-3462: JmsProducer in InOnly should support JMSReplyTo if provided as header or endpoint configuration.
            Now it sends JMSReplyTo information, but will of course not wait for any reply.
            You can use this to still provide a reply to destination, and have some other consumer pickup and process the replies.
CAMEL-3463: JMSReplyTo provided in header should be normalized to remove any queue or topic prefix.

",Design,15
65,Camel,"CAMEL-4431 Quick fix for test failure by using a new directory for each test class

",Test,15
66,Camel,"CAMEL-3888: Improved deprecation documentation about alternatives to use instead. Also removed a few deprecations which was marked to be removed in an older Camel release. Fixed CS.

",Documentation,15
67,Camel,"CAMEL-6076: deprecate the xxxRef options and provide the xxx option if it not exists yet - work in progress
",Design,15
68,Camel,"CAMEL-675: Avoid NPE for interceptors using predicate and stop(). Added more unit tests, and one of them is still failing - see CAMEL-676

",Test,15
69,Camel,"CAMEL-794: Prepared unit test to demonstrate the bug

",Test,15
70,Camel,"CAMEL-8137: Bean component should detect override methods that are assignable by type, so duplicate methods is not reported as error.
",Design,15
71,Camel,"CAMEL-8434: Added comment to workaround test
",Test,15
72,Camel,"CAMEL-9096: rest-dsl - Reuse logic for matching best rest path to use
",Design,15
73,Camel,"CAMEL-2074, CAMEL-2075, CAMEL-2071: Bean component does not handle select methods using the method name given (if any given). Also getter/setter is skipped if Camel have to pick one itself.

",Design,15
74,Camel,"CAMEL-951: Aggregator EIP improvements: added unit test. easier configuration of aggregator collection. added out batch size option to batch processor. AggregatorCollection is now an interface to let end-users provide their own implementation. Polished javadoc.

",Test,15
75,Camel,"refactor examples to only use one class definition per test

",Test,15
76,Camel,"Initial version of API component documentation report generator MOJO, minor re-factoring, fixed MOJO logging to use Log4J-SLF4J bridge to work with Maven 3.1.0 logging
",Documentation,15
77,Camel,"Skipping test, and added TODO to fix it later.

",Test,15
78,Camel,"latest iteration of camel-bam; more work is required to get it complete & then the code could use some review and tidying once the test case works :)

",Test,15
79,Camel,"More work on the soap component

",Requirement,15
80,Camel,"RabbitMQEndpoint refactoring, extracted a few helper classes to avoid RabbitMQEndpoint becoming a god class
",Design,15
81,Camel,"CAMEL-3091. Added failing test

",Test,15
82,Camel,"CAMEL-1116: Improved javadoc for fluent builders to have links to wiki documentation. Removed unused imports.

",Documentation,15
83,Camel,"CAMEL-7310: camel-restlet producer must run in sync mode due NPE bug in restlet which otherwise could cause Camel hanging as the callback is never invoked from restlet.
",Defect,15
84,Camel,"CAMEL-7999: More components include documentation
",Documentation,15
85,Camel,"CAMEL-8097: Added unit test
",Test,15
86,Camel,"CAMEL-335
- added configuration for consuming only unseen messages

Note: Work in progress, needs unit test (TODO added)

",Test,15
87,Camel,"CAMEL-3021: Added unit test to show the issue.

",Test,15
88,Camel,"CAMEL-3564. Test that the evaluation of the ref'd bean returns the expected object

",Test,15
89,Camel,"CAMEL-4092: Use Camels class resolver to load classes configured in the DSL.

",Design,15
90,Camel,"CAMEL-1004 - make it easy to start/stop routes by their definition (RouteBuilder or Route class) - added an initial implementation which needs more testing but it seems to work


",Test,15
91,Camel,"CAMEL-1594 Finished the camel-jhc part, also fixed the camel-jhc unit test error

",Test,15
92,Camel,"CAMEL-1652: Fixed problem with consuming to much memory for BatchConsumer. Thanks to Christian Schneider for the patch.

",Defect,15
93,Camel,"CAMEL-2063: Add integration tests for karaf features

",Test,15
94,Camel,"CAMEL-1697: Added more unit tests regarding using .end(). Simplyfied using .end() with doTry as we just need 1 end to end the block.

",Test,15
95,Camel,"CAMEL-2225 Added configureCamelContext method in Module for extesion

",Design,15
96,Camel,"CAMEL-2140: Aggregator supporting dynamic completion size and timeout.

",Requirement,15
97,Camel,"CAMEL-2046 fixed the scala osgi bundle issue

",Defect,15
98,Camel,"CAMEL-3023: Added support for timeout for multicast, recipient list, splitter EIPs when running in parallel mode.

",Requirement,15
99,Camel,"CAMEL-3411: Cut down on thread sleep in unit tests.

",Test,15
100,Camel,"CAMEL-4022: Moved issue test into its own unit test file to make it easier to debug. Added more unit tests when exception is thrown from onException. Polished.

",Test,15
101,Camel,"CAMEL-335
- added unit test for configuration for consuming only unseen messages

",Test,15
102,Camel,"CAMEL-421: Polished stream component. Added encoding option. Added unit tests.

",Test,15
103,Camel,"CAMEL-4293: Fixed issue when invoking a Bean and that bean has a @Bean in the method signature. Causing @Bean to not invoke its configured method.

",Design,15
104,Camel,"CAMEL-4842: Route scoped onCompletion should also shutdown child services when removing routes, to not leak resources.

",Requirement,15
105,Camel,"CAMEL-1585: Added support for endpoint uri matching for interceptFrom

",Requirement,15
106,Camel,"Disable test that causes processors to hang around

",Test,15
107,Camel,"CAMEL-1588: DefaultComponent and DefaultEndpoint should not offer thread pool by default. Removed @deprecated methods from DefaultComponent.

",Requirement,15
108,Camel,"CAMEL-5856: Fix and reenable the two JMS/JDBC Integration tests.

",Test,15
109,Camel,"Disabled test which fails due an issue with exchange copy. Added TODO. We want the tests to pass to have CI servers test all the stuff for us

",Test,15
110,Camel,"fix tests
",Test,15
111,Camel,"CAMEL-2577: Fixed doTry .. doCatch .. doFinally and having exceptions being thrown from deep nested nodes.

",Defect,15
112,Camel,"CAMEL-2723: Fixed load balancer with async. Still one issue left when using mixed and the first is sync based.

",Defect,15
